split_mode,split_label,dataset_rows,model,stage,stage_label,feature_count,macro_f1_mean,macro_f1_ci95_half_width,balanced_accuracy_mean,reachable_macro_f1_mean,reachable_macro_f1_ci95_half_width,reachable_test_rows_mean,log_loss_mean,fit_seconds_mean,inference_seconds_mean
grouped,"Known robots, new cases",6000,MLP-24,context_22,+22 full context,130,0.8896928902874538,0.006481483846486282,0.8989340140529345,0.8397653819122678,0.008262620636188303,580.5833333333334,0.26713302986928755,0.5817831666742374,0.00042997925872138393
grouped,"Known robots, new cases",7000,Logistic regression,baseline,Baseline,108,0.6215770605256493,0.00797843039281575,0.6795126121445701,0.7149545009644642,0.007586267870614051,685.0,0.7527361566970403,0.023796878502859425,0.00034328466669345897
grouped,"Known robots, new cases",7000,Logistic regression,context_10,+10 difficulty/reach,118,0.8072006499229011,0.005836867054633707,0.8192445156670516,0.7059701248673628,0.0065417177924040944,685.0,0.4521815300821894,0.09835501740841816,0.00036362508156647283
grouped,"Known robots, new cases",7000,Logistic regression,context_20,+20 geometry/state,128,0.8098014371341424,0.006613142120480271,0.8204990321508351,0.7203782121262812,0.00968598423925476,685.0,0.4414207459671815,0.11252847233360323,0.00038550007351053256
grouped,"Known robots, new cases",7000,Logistic regression,context_22,+22 full context,130,0.849591077405715,0.006472928303198445,0.865080914946636,0.7552780832668335,0.009523945365696982,685.0,0.3410536263308495,0.11344730550384459,0.0003982464938114087
grouped,"Known robots, new cases",7000,MLP-24,baseline,Baseline,108,0.8508992441394505,0.006484512105440662,0.8660243938358673,0.803529319432097,0.009406316132051656,685.0,0.3678774475986594,0.519788090173582,0.0004812084080185741
grouped,"Known robots, new cases",7000,MLP-24,context_10,+10 difficulty/reach,118,0.8936715029684917,0.009858462249882224,0.9034704386930245,0.8405456577712195,0.015709699388323388,685.0,0.25164679175651344,0.7104064893452838,0.00044609717345641303
grouped,"Known robots, new cases",7000,MLP-24,context_20,+20 geometry/state,128,0.8971254039558074,0.006008738689241638,0.9033787114783244,0.8502758237968515,0.009779788489648812,685.0,0.25461009701466075,0.5802123679944392,0.000493635336169973
grouped,"Known robots, new cases",7000,MLP-24,context_22,+22 full context,130,0.8986500021630931,0.004565169143413921,0.9035797629133047,0.8545626124999934,0.006051124214084777,685.0,0.2439812214088952,0.6462155104236444,0.00048499992408324033
grouped,"Known robots, new cases",8000,Logistic regression,baseline,Baseline,108,0.6195468465215405,0.008278189429312677,0.6787323146485248,0.7113709478738679,0.009419916592072922,782.0,0.7531427081031978,0.025845979083290633,0.00037338541975865763
grouped,"Known robots, new cases",8000,Logistic regression,context_10,+10 difficulty/reach,118,0.8059712767901908,0.006359057750927731,0.818629661429331,0.7051476291176404,0.0065868003720499155,782.0,0.45434871465181387,0.11410957316305333,0.0003929585072910413
grouped,"Known robots, new cases",8000,Logistic regression,context_20,+20 geometry/state,128,0.8081032061539304,0.007113233665022485,0.8189815559186812,0.7180366209004919,0.009019015025972648,782.0,0.4440677863449329,0.13079919108228447,0.00040425683740371216
grouped,"Known robots, new cases",8000,Logistic regression,context_22,+22 full context,130,0.8493188053556723,0.006473673564358476,0.866245993044063,0.7552078051039467,0.009449405594412626,782.0,0.33828739633973665,0.13625015283954175,0.0004511182535983001
grouped,"Known robots, new cases",8000,MLP-24,baseline,Baseline,108,0.8520845287059382,0.00686552021134683,0.8679748692277736,0.7999857189106289,0.008176519453032029,782.0,0.3629047071059703,0.6425698368257144,0.0005043959196579332
grouped,"Known robots, new cases",8000,MLP-24,context_10,+10 difficulty/reach,118,0.8983734610524476,0.007688304148623456,0.9061968666567873,0.8482961449695545,0.009821355388423662,782.0,0.23585040027617432,0.7582106736663263,0.000530059085576795
grouped,"Known robots, new cases",8000,MLP-24,context_20,+20 geometry/state,128,0.9000966500356036,0.003766101492171461,0.908648594695591,0.852311565199785,0.005500973261575616,782.0,0.2427399392779361,0.746408392325975,0.0005044930876465514
grouped,"Known robots, new cases",8000,MLP-24,context_22,+22 full context,130,0.896110942538141,0.00860914231920825,0.9047364796507537,0.848390416582474,0.011433268296973876,782.0,0.2514160968794789,0.7262865659868112,0.0005281040842722481
grouped,"Known robots, new cases",9000,Logistic regression,baseline,Baseline,108,0.6213131904901712,0.007599361925123374,0.6789471331206012,0.7140458520272143,0.007580012265138129,877.75,0.7514357062802288,0.029318437659336876,0.00041813899588305503
grouped,"Known robots, new cases",9000,Logistic regression,context_10,+10 difficulty/reach,118,0.8100852117648815,0.005528221128241135,0.8219270224421437,0.711708325176907,0.005054245504709207,877.75,0.4513150514009463,0.13258290266094264,0.00044823624193668365
