seed,profile,description,feature_count,parameter_count,best_epoch,test_rows,accuracy,balanced_accuracy,macro_f1,log_loss,accepted_recall,uncertain_recall,rejected_recall,inference_ns_per_sample,fit_ms
2604,baseline_108,"Baseline kinematics only",108,3587,6,16000,0.863375000000,0.860305832615,0.852555716056,0.302291090466,0.819602735265,0.910660509938,0.850654252642,1661.619812500000,2445
2604,context_full_130,"Complete context contract",130,4291,36,16000,0.905500000000,0.911286709130,0.895340264486,0.205727366992,0.882774340606,0.989359566352,0.861726220433,2474.010375000000,8816
2604,without_initial_error,"Full context without the initial Cartesian error",128,4227,6,16000,0.896500000000,0.902982640016,0.886357552350,0.230257451107,0.878541191794,0.978116844007,0.852289884248,2312.437500000000,3095
2604,without_seed_margin,"Full context without the seed-to-limit margin",128,4227,8,16000,0.903375000000,0.906804932325,0.893530922631,0.218076814471,0.877238684468,0.973900823128,0.869275289381,2608.742187500000,3506
2604,without_seed_condition,"Full context without the seed Jacobian conditioning",128,4227,23,16000,0.901312500000,0.905620878986,0.890911279532,0.215868960057,0.875284923478,0.978719132704,0.862858580775,2304.411437500000,6674
2604,without_reach,"Full context without radius and conservative reach context",126,4163,26,16000,0.891062500000,0.896211701491,0.880556279057,0.247583119468,0.867795506350,0.970688616744,0.850150981379,2502.817687500000,7258
2604,without_joint_mix,"Full context without prismatic and revolute fractions",128,4227,23,16000,0.902687500000,0.914794018085,0.894200290142,0.217022597016,0.915011396939,0.979722947199,0.849647710116,2587.356750000000,6657
2604,without_link_geometry,"Full context without link extent summaries",128,4227,23,16000,0.907437500000,0.914784636656,0.897902874284,0.211377738849,0.895473787040,0.986147359968,0.862732762959,2284.182250000000,6726
2604,without_joint_span,"Full context without joint span summaries",128,4227,23,16000,0.906687500000,0.916337850097,0.897419567873,0.210729306754,0.902963204168,0.990363380847,0.855686965274,2517.812500000000,6668
2604,without_normalized_target,"Full context without reach-normalized target coordinates",127,4195,23,16000,0.905937500000,0.909781646576,0.896024435510,0.211023420726,0.881797460111,0.976510740815,0.871036738802,2293.289062500000,6647
