family,trial,state,macro_f1_mean,macro_f1_std,log_loss_mean,duration_seconds,params_json
random_forest,7,COMPLETE,0.8898893742147863,0.01687410742148251,0.2384806710398575,175.554751,"{""estimators"": 450, ""max_depth"": 18, ""max_features"": 0.9885700137038383, ""min_samples_leaf"": 5}"
random_forest,8,COMPLETE,0.8889767599160483,0.014808959098810153,0.2364901640354765,52.667484,"{""estimators"": 250, ""max_depth"": 18, ""max_features"": 0.5200655821153869, ""min_samples_leaf"": 5}"
random_forest,9,COMPLETE,0.8895366418526983,0.017429883826350034,0.23801908927641333,65.759909,"{""estimators"": 200, ""max_depth"": 18, ""max_features"": 0.8467740825441769, ""min_samples_leaf"": 7}"
random_forest,10,COMPLETE,0.8909534150688119,0.011026006145977603,0.23874370180320006,2167.745935,"{""estimators"": 400, ""max_depth"": 32, ""max_features"": 0.43983025036334666, ""min_samples_leaf"": 1}"
random_forest,11,COMPLETE,0.8878071349433362,0.017902015249610912,0.23910959456515024,4171.919706,"{""estimators"": 700, ""max_depth"": null, ""max_features"": 0.9125944285537868, ""min_samples_leaf"": 9}"
mlp,0,COMPLETE,0.8751254271711374,0.020660238900350274,0.3493099525257371,22.394861,"{""alpha"": 1.672725377087461e-05, ""hidden"": ""128,64"", ""learning_rate"": 0.0029074302526592736}"
mlp,1,COMPLETE,0.8363545261403177,0.028294724567850475,0.41909309109733317,10.137902,"{""alpha"": 1.2345673301601223e-05, ""hidden"": ""32"", ""learning_rate"": 0.001017561100309924}"
mlp,2,COMPLETE,0.8620305787003599,0.024325198722141464,0.3646835443556429,14.033453,"{""alpha"": 0.007122954543365384, ""hidden"": ""64,32"", ""learning_rate"": 0.0018104859458036937}"
mlp,3,COMPLETE,0.8621438970096372,0.03465845480308198,0.3580608376179599,9.265097,"{""alpha"": 2.2825135567446358e-06, ""hidden"": ""32"", ""learning_rate"": 0.0045889975253325796}"
mlp,4,COMPLETE,0.8458567743688686,0.04705692882521245,0.44012496168284815,23.82631,"{""alpha"": 6.530568542076584e-05, ""hidden"": ""128,64"", ""learning_rate"": 0.001193004906797164}"
mlp,5,COMPLETE,0.8603816729675993,0.027488290902982875,0.41048907844500454,15.15595,"{""alpha"": 0.0010763074298980305, ""hidden"": ""64,32"", ""learning_rate"": 0.0028370924778675327}"
mlp,6,COMPLETE,0.8429017652075824,0.01972682616392149,0.43762292755918913,25.485906,"{""alpha"": 8.793447024834418e-06, ""hidden"": ""64"", ""learning_rate"": 0.0005389212683262299}"
mlp,7,COMPLETE,0.8375477375598385,0.02984262973285395,0.42198142424294544,18.373977,"{""alpha"": 0.00016553369323561162, ""hidden"": ""32"", ""learning_rate"": 0.00030278622429196357}"
mlp,8,COMPLETE,0.8638338391969276,0.03620167280063628,0.42777316354380535,22.71564,"{""alpha"": 3.3837262643045493e-06, ""hidden"": ""128,64"", ""learning_rate"": 0.0029725238102217707}"
mlp,9,COMPLETE,0.8356657388253503,0.054777201455671685,0.39615764447866875,12.176702,"{""alpha"": 0.002995671513875077, ""hidden"": ""32"", ""learning_rate"": 0.0012980460971726514}"
mlp,10,COMPLETE,0.838524870765576,0.03840560436213278,0.4193209138708429,24.146829,"{""alpha"": 0.00378641351907269, ""hidden"": ""64"", ""learning_rate"": 0.00021030427875875514}"
mlp,11,COMPLETE,0.8731413129016649,0.028465327864654902,0.33873204617554614,19.748059,"{""alpha"": 3.344186291708603e-05, ""hidden"": ""128,64"", ""learning_rate"": 0.0063422940666957965}"
logistic,0,COMPLETE,0.8434802655809767,0.011999300580376626,0.3736203382847218,2.64995,"{""c"": 0.09316924386337182}"
